Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,4.7u,
C2,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100n,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_D5.0mm,12,LED,
D13,1206,1,D,
J1,PinHeader_1x02_P1.00mm_Vertical,1,Conn_01x02,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,10k,
"R10, R11, R12, R13, R14, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,12,330,
SW1,SW_PUSH_6mm,1,Button,
SW2,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,Button,
U1,DIP-8_W7.62mm,1,NE555P,
U2,DIP794W45P254L1969H508Q16,1,CD4020,
